timestamp,Pressure Differential (bar),Turbidity Level (NTU),Flow Rate (m^3/h),Water Quality Parameter,Temperature (°C),Anomaly
2025-03-31 16:39:22,2.38,7.35,157.89,53.29,-1.38,Normal
2025-04-10 15:21:28,1.34,8.52,158.2,50.6,49.16,Normal
2025-04-08 02:52:36,1.28,7.77,154.91,58.54,48.48,Normal
2025-04-18 23:47:58,1.0,8.84,155.71,69.77,9.38,Normal
2025-04-06 09:07:31,1.43,7.72,157.18,60.91,2.99,Normal
2025-04-17 19:46:40,1.41,8.24,150.86,50.8,37.31,Normal
2025-04-28 06:56:03,2.21,6.5,154.37,64.93,24.76,Normal
2025-04-25 03:43:28,2.55,8.17,155.62,61.96,3.21,Normal
2025-04-15 18:15:52,1.0,6.85,151.14,68.85,22.19,Normal
2025-04-14 01:58:27,2.59,6.12,152.5,59.46,42.86,Normal
2025-04-07 23:44:40,2.45,7.79,154.93,52.47,43.43,Normal
2025-04-08 14:08:29,1.51,7.58,154.49,65.53,32.21,Normal
2025-04-05 04:48:13,1.89,8.7,152.13,63.75,21.72,Normal
2025-04-14 23:11:49,1.9,8.67,159.92,68.28,33.43,Normal
2025-04-11 18:41:47,2.44,8.86,156.19,67.78,-6.1,Normal
2025-04-07 07:55:01,2.63,6.9,157.41,57.42,8.6,Normal
2025-04-27 12:43:02,2.11,7.57,155.15,65.95,32.2,Normal
2025-04-04 16:40:17,2.52,6.71,158.0,52.77,30.81,Normal
2025-04-14 11:57:56,1.83,8.58,155.46,51.28,45.58,Normal
2025-04-23 03:44:23,1.88,8.22,152.13,62.84,29.77,Normal
2025-04-13 23:49:13,2.17,6.52,159.89,66.38,44.89,Normal
2025-04-26 07:19:24,2.91,8.7,153.25,56.79,36.37,Normal
2025-04-11 21:55:01,1.79,7.28,155.96,68.69,38.77,Normal
2025-04-09 05:59:11,1.37,7.22,151.23,55.94,23.15,Normal
2025-04-18 00:33:04,1.54,7.71,154.16,55.74,45.32,Normal
2025-04-22 18:19:55,1.14,8.44,157.3,69.79,6.5,Normal
2025-04-10 01:27:01,2.13,6.68,156.82,52.95,34.19,Normal
2025-04-17 01:50:03,1.37,8.38,159.11,59.97,19.48,Normal
2025-04-26 08:32:28,2.82,8.9,154.85,52.32,-3.25,Normal
2025-04-14 13:13:15,1.72,8.46,155.54,55.0,11.31,Normal
2025-04-17 03:02:51,2.62,8.13,152.82,69.1,44.35,Normal
2025-04-24 11:45:23,1.5,7.64,150.84,57.78,34.21,Normal
2025-04-23 04:24:20,2.5,6.97,157.29,52.33,14.29,Normal
2025-04-26 03:17:49,1.48,8.48,155.75,52.66,7.48,Normal
2025-04-29 01:02:24,1.64,6.56,152.29,52.65,32.35,Normal
2025-04-24 12:12:51,2.21,8.87,155.58,69.75,-5.29,Normal
2025-04-01 19:41:33,2.29,7.98,156.44,68.94,49.97,Normal
2025-04-25 01:53:14,1.66,6.48,153.88,60.52,14.13,Normal
2025-04-10 20:47:10,2.89,6.12,153.65,62.43,42.7,Normal
2025-04-25 00:05:55,2.91,8.7,152.81,65.56,-9.25,Normal
2025-04-24 20:46:32,2.24,6.76,158.66,57.78,1.86,Normal
2025-04-01 11:05:51,2.3,8.0,152.11,58.99,16.45,Normal
2025-04-04 02:08:03,2.92,8.74,155.44,58.28,29.24,Normal
2025-04-24 06:53:36,1.71,6.64,154.43,53.65,7.68,Normal
2025-04-16 04:49:00,2.87,7.75,150.61,53.33,-5.48,Normal
2025-04-12 11:54:28,1.36,6.51,155.9,67.22,21.4,Normal
2025-04-05 12:45:06,1.86,8.63,159.0,67.5,45.61,Normal
2025-04-13 07:37:03,2.28,8.16,150.67,63.61,25.4,Normal
2025-04-24 02:30:33,2.5,8.99,152.58,53.89,24.58,Normal
2025-04-16 08:49:10,2.23,7.54,153.53,61.46,45.51,Normal
2025-04-06 23:19:10,2.1,6.53,157.17,66.68,37.4,Normal
2025-04-12 07:44:10,2.46,8.71,154.44,50.52,-2.44,Normal
2025-04-11 22:16:24,1.26,6.5,151.12,52.6,26.6,Normal
2025-03-31 23:48:02,2.67,6.13,154.79,54.1,32.49,Normal
2025-04-16 13:33:49,2.69,6.11,157.39,61.52,7.19,Normal
2025-04-26 22:10:35,2.5,6.2,156.48,57.33,-4.54,Normal
2025-04-03 00:50:58,1.17,7.14,157.79,64.34,35.79,Normal
2025-04-23 14:18:00,1.41,6.19,150.68,50.23,-3.36,Normal
2025-04-12 18:43:06,1.91,7.93,150.29,52.19,-9.63,Normal
2025-04-15 17:51:03,1.96,6.7,154.99,62.9,25.6,Normal
2025-04-08 12:40:01,1.32,7.1,151.98,57.49,40.56,Normal
2025-04-10 06:49:30,1.3,8.55,155.1,55.35,28.15,Normal
2025-04-18 22:14:00,1.1,6.74,157.88,69.19,14.98,Normal
2025-04-04 01:20:05,1.2,7.11,159.43,51.7,13.82,Normal
2025-04-07 04:24:40,1.16,7.29,155.71,61.56,37.24,Normal
2025-04-13 01:51:34,1.8,8.19,157.37,58.69,14.58,Normal
2025-04-02 18:52:54,2.24,8.87,157.98,67.19,30.36,Normal
2025-04-20 10:39:42,1.21,6.7,156.64,60.84,1.68,Normal
2025-04-28 20:02:08,2.45,7.7,155.47,63.97,31.55,Normal
2025-03-31 00:44:11,2.28,6.4,150.98,58.7,23.71,Normal
2025-04-07 06:57:40,1.33,7.74,153.29,58.38,-4.73,Normal
2025-04-19 02:52:55,1.93,6.92,155.61,55.62,43.88,Normal
2025-04-15 13:52:11,1.19,6.86,156.57,69.73,23.11,Normal
2025-04-03 17:15:19,2.73,8.6,158.51,58.1,16.64,Normal
2025-04-27 10:43:54,1.71,8.94,158.31,57.9,8.99,Normal
2025-04-05 04:11:24,2.54,7.44,153.41,61.76,32.3,Normal
2025-04-14 12:13:22,1.44,8.56,159.18,64.5,43.29,Normal
2025-04-25 19:54:18,1.26,8.66,154.7,65.79,37.18,Normal
2025-04-09 10:54:40,2.6,7.83,150.8,62.84,8.84,Normal
2025-04-17 04:46:08,1.2,7.83,156.29,62.65,36.12,Normal
2025-04-23 11:53:47,2.95,6.2,155.87,61.45,31.38,Normal
2025-04-26 18:25:54,1.23,7.18,150.97,60.52,17.38,Normal
2025-03-31 23:36:23,2.77,8.78,153.76,57.29,34.3,Normal
2025-04-17 03:39:11,1.88,7.17,158.77,65.91,32.47,Normal
2025-04-08 15:25:53,2.62,7.17,152.24,57.4,17.97,Normal
2025-04-24 21:24:56,2.94,6.71,156.66,51.24,9.56,Normal
2025-04-24 00:23:30,1.23,8.89,158.17,62.52,11.57,Normal
2025-04-08 09:28:41,1.53,7.39,157.36,55.15,48.16,Normal
2025-04-08 07:47:30,2.95,8.46,150.11,59.41,14.48,Normal
2025-04-23 14:53:33,1.78,6.9,154.24,50.15,-8.59,Normal
2025-04-14 15:39:51,2.64,8.41,150.14,60.43,16.92,Normal
2025-04-27 07:55:29,1.22,6.42,155.86,65.6,42.4,Normal
2025-04-25 15:33:24,1.73,8.49,152.76,53.96,10.9,Normal
2025-04-14 09:40:16,1.67,7.22,151.47,51.99,3.11,Normal
2025-04-13 11:06:50,1.21,6.39,159.43,67.56,-6.16,Normal
2025-04-01 02:51:44,2.86,6.13,156.6,52.54,16.22,Normal
2025-04-06 02:38:09,1.89,7.12,157.39,64.6,5.28,Normal
2025-04-21 17:11:46,2.3,6.6,151.44,65.59,45.21,Normal
2025-04-04 21:43:32,2.71,8.9,154.68,64.51,28.52,Normal
2025-04-02 16:42:55,1.27,6.74,150.96,54.84,0.57,Normal
2025-04-26 08:34:51,1.0,8.71,155.14,59.3,6.55,Normal
2025-04-28 08:40:26,2.8,7.91,156.51,62.55,25.27,Normal
2025-04-07 04:49:03,2.85,6.17,150.9,50.18,37.62,Normal
2025-04-20 21:54:59,1.1,6.82,156.58,69.54,30.23,Normal
2025-04-03 12:03:19,2.78,6.43,158.99,50.6,20.65,Normal
2025-04-22 11:46:43,2.53,7.37,154.21,51.88,29.95,Normal
2025-04-14 11:21:05,2.7,8.6,159.21,68.6,33.37,Normal
2025-04-01 00:53:16,2.62,6.16,158.9,58.32,-1.78,Normal
2025-04-28 14:56:32,1.63,7.98,156.3,64.92,31.21,Normal
2025-04-19 01:39:16,2.38,7.95,158.29,62.87,36.49,Normal
2025-04-16 21:19:22,2.78,8.34,155.34,58.12,7.83,Normal
2025-04-28 01:41:55,2.59,8.95,153.93,68.98,3.66,Normal
2025-04-04 10:54:38,1.87,7.44,153.92,59.32,3.4,Normal
2025-04-20 10:33:18,2.32,6.99,151.35,51.48,15.42,Normal
2025-04-03 01:56:18,2.25,8.5,152.82,65.13,0.69,Normal
2025-04-18 08:39:59,1.38,8.49,151.8,61.62,-4.8,Normal
2025-04-20 23:22:16,1.17,6.24,150.92,68.3,22.49,Normal
2025-04-16 02:33:14,1.51,6.27,158.58,67.19,38.74,Normal
2025-04-11 00:31:52,1.4,8.18,157.83,50.6,49.79,Normal
2025-04-02 18:44:31,1.35,6.96,156.21,61.7,1.56,Normal
2025-04-05 09:59:23,1.79,7.97,158.64,57.59,40.8,Normal
2025-04-23 06:13:14,1.9,6.92,157.75,68.41,17.25,Normal
2025-04-15 12:32:01,1.99,6.41,153.12,57.94,17.25,Normal
2025-04-17 22:36:36,1.9,7.74,157.6,63.18,4.78,Normal
2025-04-25 00:59:16,2.27,8.6,157.35,50.93,18.94,Normal
2025-04-11 16:27:22,1.41,7.74,153.75,54.73,48.0,Normal
2025-04-24 04:32:16,1.54,8.5,157.89,53.57,22.3,Normal
2025-04-14 12:14:37,1.9,7.73,159.3,64.59,40.17,Normal
2025-04-19 09:21:44,1.47,8.59,150.8,52.49,48.88,Normal
2025-04-15 20:56:49,1.37,7.96,154.89,69.69,27.26,Normal
2025-04-17 11:01:39,2.79,6.46,155.22,67.9,-5.71,Normal
2025-04-09 15:35:26,1.42,6.69,151.83,65.94,39.74,Normal
2025-04-23 07:34:43,1.6,8.68,158.37,64.79,14.86,Normal
2025-04-02 21:32:42,1.58,6.1,156.22,59.9,-3.21,Normal
2025-04-13 02:34:47,1.89,6.63,152.26,66.8,-8.37,Normal
2025-04-19 22:23:01,1.6,7.53,157.94,50.37,3.8,Normal
2025-04-02 00:12:50,1.45,7.58,152.79,55.91,25.36,Normal
2025-04-08 13:27:19,1.9,8.85,152.2,57.14,-7.4,Normal
2025-04-27 14:27:13,1.56,7.47,152.26,67.9,-7.85,Normal
2025-04-16 03:40:45,1.93,7.5,152.86,67.14,10.3,Normal
2025-04-28 02:54:01,2.63,8.94,157.28,50.0,0.33,Normal
2025-04-28 18:50:32,2.74,7.72,156.33,65.88,43.15,Normal
2025-04-12 22:46:02,2.53,8.45,150.37,59.67,31.9,Normal
2025-04-15 08:56:51,2.87,7.34,155.12,67.74,13.18,Normal
2025-04-20 08:01:01,1.9,6.99,157.96,63.5,3.13,Normal
2025-04-28 14:15:46,2.15,6.54,157.35,68.75,8.96,Normal
2025-04-06 05:54:48,1.12,8.6,151.63,50.22,15.77,Normal
2025-04-15 14:00:52,1.38,8.79,151.97,52.84,39.66,Normal
2025-04-01 05:53:53,2.15,7.57,155.48,64.58,-7.4,Normal
2025-04-08 07:09:03,2.9,6.62,156.17,59.91,15.62,Normal
2025-04-05 00:31:21,2.84,8.87,158.73,65.6,26.2,Normal
2025-04-27 06:54:31,2.34,6.89,157.75,50.4,15.73,Normal
2025-04-18 15:49:00,2.73,6.62,151.88,56.43,22.64,Normal
2025-04-19 05:28:44,1.79,8.11,159.12,68.43,8.8,Normal
2025-04-11 09:08:21,1.95,8.97,154.55,63.4,46.8,Normal
2025-04-15 16:43:45,2.95,8.3,156.27,54.13,2.27,Normal
2025-04-25 14:37:15,2.89,6.4,158.54,65.87,6.35,Normal
2025-04-06 17:55:03,2.6,8.47,154.2,69.4,44.94,Normal
2025-04-05 15:17:10,1.56,7.1,156.32,59.11,43.96,Normal
